Text,Aspect,Polarity
I charge it at night and skip taking the cord with me because of the good battery life .,battery life,POS
"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",quality,POS
"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",GUI,POS
"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",applications,POS
"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",use,POS
Easy to start up and does not overheat as much as other laptops .,start up,POS
Great laptop that offers many great features !,features,POS
"One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .",GUI,NEG
"One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .",screen,NEG
"One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .",power light,NEU
"One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .",hard drive light,NEG
"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary ( unless you 're gaming ) .",external mouse,NEU
I love the way the entire suite of software works together .,suite of software,POS
The speed is incredible and I am more than satisfied .,speed,POS
I can barely use any usb devices because they will not stay connected properly .,usb devices,NEG
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed .,system,NEG
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it 's a snap .,syncing,POS
"I also got the added bonus of a 30 '' HD Monitor , which really helps to extend my screen and keep my eyes fresh !",screen,NEU
The machine is slow to boot up and occasionally crashes completely .,boot up,NEG
"After paying several hundred dollars for this service , it is frustrating that you can not get help after hours .",service,NEG
I love the operating system and the preloaded software .,operating system,POS
I love the operating system and the preloaded software .,preloaded software,POS
The best thing about this laptop is the price along with some of the newer features .,price,POS
The best thing about this laptop is the price along with some of the newer features .,features,POS
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY .,WARRANTY SERVICE,NEG
but now i have realized its a problem with this brand .,brand,NEG
Also kinda loud when the fan was running .,fan,NEG
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files .,hard disc,NEG
"Speaking of the browser , it too has problems .",browser,NEG
The keyboard is too slick .,keyboard,NEG
"It 's like 9 punds , but if you can look past it , it 's GREAT !",9 punds,NEG
It 's just as fast with one program open as it is with sixteen open .,program,NEU
"Still under warrenty so called Toshiba , no help at all .",warrenty,NEG
Amazing Quality !,Quality,POS
"A month or so ago , the freaking motherboard just died .",motherboard,NEG
"The system it comes with does not work properly , so when trying to fix the problems with it it started not working at all .",system,NEG
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running .,charger,NEG
"If a website ever freezes ( which is rare ) , its really easy to force quit .",force quit,POS
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program .,Windows 7,POS
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program .,VMWare program,NEU
"I wanted to purchase the extended warranty and they refused , because they knew it was trouble .",extended warranty,NEU
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed .,speed,POS
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed .,performace,POS
"The reality was , it heated up very quickly , and took way too long to do simple things , like opening my Documents folder .",opening my Documents folder,NEG
I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive .,operating systems,NEG
"Then , within 5 months , the charger crapped out on me .",charger,NEG
And if you have a iphone or ipod touch you can connect and download songs to it at high speed .,speed,POS
I love the glass touchpad .,glass touchpad,POS
I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again .,hard drive,NEG
I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again .,mother board,NEG
"Then HP sends it back to me with the hardware screwed up , not able to connect .",hardware,NEG
"Oh yeah , do n't forget the expensive shipping to and from HP .",shipping,NEG
"Everything is so easy to use , Mac software is just so much simpler than Microsoft software .",Mac software,POS
"Everything is so easy to use , Mac software is just so much simpler than Microsoft software .",Microsoft software,NEG
"Everything is so easy to use , Mac software is just so much simpler than Microsoft software .",use,POS
"And if you do a lot of writing , editing is a problem since there is no forward delete key .",editing,NEG
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar -- can not be beat .,use,POS
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar -- can not be beat .,service,POS
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar -- can not be beat .,phone assistance,POS
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar -- can not be beat .,genius bar,POS
"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .",battery life,POS
"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .",web browsing,NEU
"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .",word editing,NEU
"Acer has set me up with FREE recovery discs , when they are available since I asked .",recovery discs,POS
Enabling the battery timer is useless .,battery timer,NEG
"There is no need to purchase virus protection for Mac , which saves me a lot of time and money .",virus protection for Mac,POS
"But we had paid for bluetooth , and there was none .",bluetooth,NEG
"It is always reliable , never bugged and responds well .",responds,POS
they had to replace the motherboard in April,motherboard,NEG
"Also , if you need to talk to a representive at Microsoft , there is a charge , which I believe is robbery , since you are charged enormous amounts for a very badly designed system , which most people would have went with XP if they could .",system,NEG
I love WIndows 7 which is a vast improvment over Vista .,WIndows 7,POS
Dell 's customer disservice is an insult to it 's customers who pay good money for shoddy products .,Dell 's customer disservice,NEG
"After talking it over with the very knowledgeable sales associate , I chose the MacBook Pro over the white MacBook .",sales associate,POS
"If you really want a bang-up system and do n't need to run Windows applications , go with an Apple ;",system,POS
You wo n't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet .,virus program,NEG
It 's color is even cool .,color,POS
keys are all in weird places and is way too large for the way it is designed .,keys,NEG
"Yes , a Mac is much more money than the average laptop out there , but there is no comparison in style , speed and just cool factor .",style,POS
