Text,Aspect,Polarity
"Judging from previous posts this used to be a good place , but not any longer .",place,NEG
"We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",staff,NEG
The food was lousy - too sweet or too salty and the portions tiny .,food,NEG
The food was lousy - too sweet or too salty and the portions tiny .,portions,NEG
Avoid this place !,place,NEG
"I have eaten at Saul , many times , the food is always consistently , outrageously good .",food,POS
Saul is the best restaurant on Smith Street and in Brooklyn .,Saul,POS
The duck confit is always amazing and the foie gras terrine with figs was out of this world .,foie gras terrine with figs,POS
The duck confit is always amazing and the foie gras terrine with figs was out of this world .,duck confit,POS
The wine list is interesting and has many good values .,wine list,POS
I was very disappointed with this restaurant .,restaurant,NEG
"Food was okay , nothing great .",Food,NEU
Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,Chow fun,NEG
Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,pork shu mai,NEG
I/we will never go back to this place again .,place,NEG
"Service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! !",Service,POS
"Service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! !",oysters,POS
"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",service,POS
"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",decor,POS
I had the duck breast special on my last visit and it was incredible .,duck breast special,POS
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .,Grilled Chicken special with Edamame Puree,POS
I had never had Edamame pureed before but I thought it was innovative and tasty ( could 've used a bit more salt ) .,Edamame pureed,POS
"Their sake list was extensive , but we were looking for Purple Haze , which was n't listed but made for us upon request !",sake list,POS
We went around 9:30 on a Friday and it had died down a bit by then so the service was great !,service,POS
Food awesome .,Food,POS
Service friendly and attentive .,Service,POS
the food is decent .,food,NEU
This place has got to be the best japanese restaurant in the new york area .,place,POS
Food is great .,Food,POS
Service is top notch .,Service,POS
We took advanatage of the half price sushi deal on saturday so it was well worth it .,half price sushi deal,POS
"In the evening , this place attracted a well dressed , with it , NY crowd .",crowd,POS
"$ 6 and there is much tasty food , all of it fresh and continually refilled .",food,POS
"I am not a vegetarian but , almost all the dishes were great .",dishes,POS
"The food here is rather good , but only if you like to wait for it .",food,POS
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",somosas,POS
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",chai,POS
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",chole,POS
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",dhosas,NEG
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",dhal,NEG
"The service varys from day to day- sometimes they 're very nice , and sometimes not .",service,NEG
"Also , specify if you like your food spicy- its rather bland if you do n't .",food,NEG
"The ambience is pretty and nice for conversation , so a casual lunch here would probably be best .",ambience,POS
The lava cake dessert was incredible and I recommend it .,lava cake dessert,POS
"Once you step into Cosette , you 're miraculously in a small , off-the-beaten path Parisian bistro .",Cosette,POS
"This tiny restaurant is as cozy as it gets , with that certain Parisian flair .",restaurant,POS
The pizza was delivered cold and the cheese was n't even fully melted !,pizza,NEG
The pizza was delivered cold and the cheese was n't even fully melted !,cheese,NEG
The pizza is overpriced and soggy .,pizza,NEG
"Yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .",ingredients,POS
"Yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .",pizza,NEG
I think I 've had some the best meals of my life at minnow .,meals,POS
"The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",seafood,POS
"The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",wine list,POS
"The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",menu,POS
The combination of super-fresh ingredients in the dishes are unusual but really delicious .,ingredients,POS
Best Pastrami I ever had and great portion without being ridiculous .,Pastrami,POS
Best Pastrami I ever had and great portion without being ridiculous .,portion,POS
My wife had the fried shrimp which are huge and loved it .,fried shrimp,POS
"As a Japanese native , I 've lived in the Tristate area for over 8 years , but I was just so amazed at this place .",place,POS
"The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .",signs,POS
"The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .",specials menus,POS
"The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .",food,POS
"The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .",waitstaff,POS
This place is worth an one-hour drive .,place,POS
"My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",staff,POS
Decent wine at reasonable prices .,wine,POS
This is by far my favorite place in the neighborhood .,place,POS
"The service is excellent , the decor is great , and the food is delicious and comes in large portions .",service,POS
"The service is excellent , the decor is great , and the food is delicious and comes in large portions .",decor,POS
"The service is excellent , the decor is great , and the food is delicious and comes in large portions .",food,POS
"The service is excellent , the decor is great , and the food is delicious and comes in large portions .",portions,POS
I 'm partial to the Gnocchi .,Gnocchi,POS
This place is incredibly tiny .,place,NEG
The hostess is rude to the point of being offensive .,hostess,NEG
"We have been to this place many times , and always have great food , wine , and service .",food,POS
"We have been to this place many times , and always have great food , wine , and service .",wine,POS
"We have been to this place many times , and always have great food , wine , and service .",service,POS
"We were worried we would have trouble getting in , but somehow managed to have a short wait .",wait,POS
As always we had a great glass of wine while we waited .,glass of wine,POS
"When we sat , we got great and fast service .",service,POS
The people that work there are always so friendly you forget you are in New York sometimes .,people,POS
